Provinsi,Persentase Penduduk Buta Huruf (Persen),,,,,,,,
,15+,,,15-44,,,45+,,
,2020,2021,2022,2020,2021,2022,2020,2021,2022
ACEH,1.75,1.76,1.75,0.07,0.06,0.13,5.53,5.32,4.96
SUMATERA UTARA,0.84,0.81,0.89,0.20,0.17,0.24,2.09,2.03,2.11
SUMATERA BARAT,0.83,0.74,0.71,0.12,0.10,0.12,2.04,1.92,1.70
RIAU,0.77,0.80,0.82,0.09,0.09,0.07,2.37,2.38,2.42
JAMBI,1.81,1.92,1.90,0.26,0.24,0.18,4.91,4.88,5.14
SUMATERA SELATAN,1.25,1.22,1.35,0.23,0.20,0.27,3.25,3.15,3.28
BENGKULU,1.99,2.12,2.20,0.19,0.16,0.25,5.64,5.63,5.87
LAMPUNG,2.76,2.72,2.75,0.12,0.11,0.28,7.43,7.09,6.91
KEP. BANGKA BELITUNG,1.92,1.90,1.83,0.68,0.64,0.42,4.43,4.19,4.52
KEP. RIAU,1.00,0.91,0.98,0.14,0.11,0.15,3.25,2.87,2.85
DKI JAKARTA,0.31,0.27,0.31,0.10,0.09,0.08,0.71,0.61,0.68
JAWA BARAT,1.37,1.38,1.51,0.13,0.12,0.13,3.55,3.56,3.93
JAWA TENGAH,6.38,6.21,5.74,0.30,0.25,0.74,14.32,14.09,12.78
DI YOGYAKARTA,4.91,4.78,4.85,0.06,0.07,0.22,11.26,10.94,10.34
JAWA TIMUR,7.50,7.44,6.68,1.00,0.94,0.94,16.00,15.62,14.28
BANTEN,2.12,2.22,1.84,0.13,0.14,0.33,6.45,6.16,4.86
BALI,5.20,5.00,4.47,0.13,0.09,0.40,12.55,12.08,9.92
NUSA TENGGARA BARAT,12.40,12.61,11.03,2.82,2.70,2.79,30.94,30.38,26.75
NUSA TENGGARA TIMUR,6.69,6.15,5.37,2.73,2.13,1.75,14.56,13.79,12.30
KALIMANTAN BARAT,6.59,6.59,6.04,1.58,1.43,1.46,16.75,16.47,14.92
KALIMANTAN TENGAH,0.80,0.90,0.88,0.12,0.09,0.08,2.33,2.45,2.50
KALIMANTAN SELATAN,1.55,1.73,1.64,0.17,0.15,0.24,4.17,4.29,4.20
KALIMANTAN TIMUR,1.03,1.10,1.03,0.20,0.14,0.24,2.78,2.80,2.59
KALIMANTAN UTARA,3.34,3.45,2.29,0.72,0.61,0.77,9.23,8.93,5.48
SULAWESI UTARA,0.21,0.20,0.19,0.10,0.09,0.07,0.37,0.35,0.34
SULAWESI TENGAH,1.76,1.72,1.95,0.71,0.67,0.58,3.78,3.62,4.57
SULAWESI SELATAN,7.44,7.51,6.69,1.88,1.71,1.77,17.13,16.78,15.08
SULAWESI TENGGARA,5.00,5.06,4.21,1.16,1.10,0.82,13.29,13.07,11.21
GORONTALO,1.25,1.25,1.58,0.34,0.28,0.60,3.05,2.97,3.41
SULAWESI BARAT,6.83,6.91,6.18,3.08,2.67,1.85,15.28,15.19,15.40
MALUKU,0.58,0.58,0.60,0.55,0.52,0.31,0.66,0.70,1.19
MALUKU UTARA,1.23,1.29,1.22,0.29,0.26,0.16,3.44,3.43,3.57
PAPUA BARAT,2.48,2.09,2.36,1.82,1.39,0.98,4.27,3.86,5.65
PAPUA,22.10,21.11,18.81,20.38,19.03,15.09,26.95,26.28,28.35
INDONESIA,4.00,3.96,3.65,0.80,0.73,0.75,9.46,9.24,8.48
,,,,,,,,,
"Sumber: BPS-RI, Susenas 2003-2017
Kenaikan Angka Buta Huruf perbandingan tahun 2010 dan 2011 disebabkan:
1. Perbedaan metodologi penghitungan estimasi. Pada tahun 2010, penghitungan inflate tidak didasarkan pada kelompok umur 5 tahunan (0-4, 5-9, 10-14,..)
sedangkan pada tahun 2011, penghitungan inflatenya berdasarkan kelompok umur 5 tahunan.
2. Pengumpulan data pada tahun 2010 dilakukan 1 (satu) kali dalam setahun yaitu pada bulan Juli, sedangkan pada tahun 2011 dilakukan triwulanan. Hal ini mempengaruhi penghitungan indikator pendidikan
karena tahun ajaran sekolah yang dimulai pada bulan Juli berakhir pada bulan Juni tahun berikutnya.
3. Data tahun 2011-2017 diestimasi dengan menggunakan inflate hasil back-casting berdasarkan proyeksi penduduk Indonesia 2010-2035
",,,,,,,,,
Source Url: https://www.bps.go.id/indicator/28/102/1/persentase-penduduk-buta-huruf.html,,,,,,,,,
"Access Time: January 26, 2023, 5:17 pm",,,,,,,,,
