Provinsi,Persentase Penduduk Buta Huruf (Persen),,,,,,,,
,15+,,,15-44,,,45+,,
,2014,2015,2016,2014,2015,2016,2014,2015,2016
ACEH,2.58,2.37,2.26,0.43,0.27,0.22,8.31,7.73,7.32
SUMATERA UTARA,1.43,1.32,1.12,0.66,0.51,0.37,3.19,3.08,2.71
SUMATERA BARAT,1.56,1.44,1.19,0.43,0.32,0.17,3.72,3.52,3.06
RIAU,1.25,1.13,0.93,0.48,0.33,0.20,3.59,3.42,2.90
JAMBI,2.23,2.16,1.99,0.57,0.49,0.35,6.34,6.06,5.66
SUMATERA SELATAN,1.86,1.78,1.54,0.52,0.48,0.35,5.06,4.73,4.18
BENGKULU,2.48,2.37,2.25,0.54,0.48,0.36,7.20,6.77,6.55
LAMPUNG,3.46,3.33,3.22,0.42,0.34,0.21,9.91,9.52,9.23
KEP. BANGKA BELITUNG,2.40,2.37,2.34,0.91,0.87,0.81,5.94,5.86,5.67
KEP. RIAU,1.29,1.21,1.16,0.38,0.29,0.28,4.62,4.42,4.10
DKI JAKARTA,0.46,0.41,0.36,0.08,0.06,0.08,1.44,1.26,0.99
JAWA BARAT,2.04,1.99,1.78,0.41,0.29,0.23,5.56,5.45,4.90
JAWA TENGAH,7.02,6.88,6.70,0.65,0.50,0.36,16.68,16.10,15.75
DI YOGYAKARTA,5.56,5.50,5.41,0.09,0.19,0.13,13.71,12.80,12.63
JAWA TIMUR,8.64,8.53,8.41,1.43,1.24,1.09,19.66,19.24,18.84
BANTEN,2.76,2.63,2.45,0.48,0.33,0.19,9.21,8.69,8.30
BALI,7.44,7.23,7.18,1.06,0.61,0.51,18.72,18.31,18.00
NUSA TENGGARA BARAT,13.04,13.03,12.94,3.54,3.31,3.26,34.32,33.78,33.47
NUSA TENGGARA TIMUR,8.82,8.55,8.48,3.48,3.10,3.06,19.87,19.47,19.42
KALIMANTAN BARAT,7.70,7.68,7.61,2.06,2.00,1.88,21.18,20.78,20.43
KALIMANTAN TENGAH,1.18,1.12,1.03,0.32,0.30,0.19,3.56,3.32,3.19
KALIMANTAN SELATAN,1.81,1.79,1.72,0.28,0.19,0.11,5.46,5.40,5.21
KALIMANTAN TIMUR,1.41,1.31,1.18,0.19,0.13,0.12,4.75,4.34,3.82
KALIMANTAN UTARA,-,5.01,4.95,-,1.36,1.31,-,14.89,14.41
SULAWESI UTARA,0.40,0.37,0.21,0.18,0.17,0.15,0.77,0.71,0.32
SULAWESI TENGAH,2.92,2.66,2.49,1.38,0.91,0.82,6.45,6.42,5.99
SULAWESI SELATAN,8.74,8.71,8.48,2.58,2.22,2.07,21.44,21.34,20.81
SULAWESI TENGGARA,5.97,5.90,5.75,1.62,1.37,1.19,17.10,17.07,16.80
GORONTALO,2.10,1.76,1.56,1.10,0.61,0.49,4.43,4.35,3.86
SULAWESI BARAT,7.73,7.36,7.25,3.93,3.33,3.06,17.66,17.37,17.36
MALUKU,1.23,1.15,1.06,0.81,0.80,0.76,2.21,1.96,1.75
MALUKU UTARA,1.64,1.51,1.33,0.57,0.47,0.36,4.67,4.28,3.83
PAPUA BARAT,3.25,3.12,2.95,2.27,2.09,1.97,6.36,6.32,5.77
PAPUA,29.22,29.17,28.98,28.50,28.47,28.21,31.85,31.57,31.41
INDONESIA,4.88,4.78,4.62,1.24,1.10,1.00,12.25,11.89,11.47
,,,,,,,,,
"Sumber: BPS-RI, Susenas 2003-2017
Kenaikan Angka Buta Huruf perbandingan tahun 2010 dan 2011 disebabkan:
1. Perbedaan metodologi penghitungan estimasi. Pada tahun 2010, penghitungan inflate tidak didasarkan pada kelompok umur 5 tahunan (0-4, 5-9, 10-14,..)
sedangkan pada tahun 2011, penghitungan inflatenya berdasarkan kelompok umur 5 tahunan.
2. Pengumpulan data pada tahun 2010 dilakukan 1 (satu) kali dalam setahun yaitu pada bulan Juli, sedangkan pada tahun 2011 dilakukan triwulanan. Hal ini mempengaruhi penghitungan indikator pendidikan
karena tahun ajaran sekolah yang dimulai pada bulan Juli berakhir pada bulan Juni tahun berikutnya.
3. Data tahun 2011-2017 diestimasi dengan menggunakan inflate hasil back-casting berdasarkan proyeksi penduduk Indonesia 2010-2035
",,,,,,,,,
Source Url: https://www.bps.go.id/indicator/28/102/3/persentase-penduduk-buta-huruf.html,,,,,,,,,
"Access Time: January 26, 2023, 5:22 pm",,,,,,,,,
